Date,Open,High,Low,Close,Adj Close,Volume
2019-06-19,351.000000,351.000000,334.799988,341.750000,340.526947,173352
2019-06-20,342.000000,350.049988,340.000000,348.649994,347.402252,81007
2019-06-21,350.000000,350.000000,342.850006,344.250000,343.018005,137732
2019-06-24,352.799988,352.799988,343.600006,344.799988,343.566010,68703
2019-06-25,344.799988,351.750000,344.549988,348.450012,347.202972,262577
2019-06-26,348.100006,352.000000,342.799988,345.350006,344.114075,1699482
2019-06-27,345.500000,350.649994,340.799988,348.000000,346.754578,265896
2019-06-28,344.000000,350.049988,342.950012,346.700012,345.459259,121190
2019-07-01,343.049988,349.549988,343.049988,348.500000,347.252808,548890
2019-07-02,348.000000,354.350006,347.649994,353.399994,352.135254,319798
2019-07-03,355.000000,356.399994,349.799988,353.399994,352.135254,186802
2019-07-04,355.799988,364.950012,353.149994,362.600006,361.302338,1079965
2019-07-05,360.049988,371.000000,360.049988,364.850006,363.544281,239811
2019-07-08,370.000000,370.000000,354.750000,356.549988,355.273987,324072
2019-07-09,357.000000,363.200012,354.799988,362.200012,360.903778,91249
2019-07-10,357.049988,364.549988,353.750000,358.350006,357.067535,271875
2019-07-11,364.899994,364.899994,356.350006,360.750000,359.458954,135553
2019-07-12,361.000000,361.000000,354.250000,355.950012,354.676147,95811
2019-07-15,356.000000,359.299988,349.299988,350.700012,349.444946,216424
2019-07-16,352.950012,354.950012,349.799988,350.850006,349.594391,122437
2019-07-17,350.000000,353.200012,344.600006,345.899994,344.662079,280157
2019-07-18,350.000000,351.000000,338.549988,342.299988,341.074982,127231
2019-07-19,346.899994,346.899994,336.450012,340.000000,338.783203,79108
2019-07-22,342.500000,343.700012,335.899994,342.750000,341.523376,276399
2019-07-23,345.200012,348.250000,337.250000,343.700012,342.469971,147630
2019-07-24,342.000000,344.149994,336.000000,338.750000,337.537689,119903
2019-07-25,334.000000,343.250000,334.000000,338.950012,337.736969,154375
2019-07-26,338.950012,338.950012,328.149994,334.799988,333.601807,189579
2019-07-29,334.799988,336.299988,328.299988,334.899994,333.701447,138590
2019-07-30,335.950012,348.200012,335.700012,345.600006,344.363190,676983
2019-07-31,342.500000,353.399994,333.000000,337.799988,336.591064,387759
2019-08-01,335.700012,338.500000,321.600006,323.950012,322.790680,2217587
2019-08-02,327.200012,351.149994,327.200012,343.450012,342.220886,3157986
2019-08-05,340.600006,361.350006,339.200012,357.049988,355.772186,1493634
2019-08-06,356.750000,375.149994,354.649994,368.399994,367.081573,1833333
2019-08-07,369.700012,372.899994,362.500000,365.750000,364.441071,444077
2019-08-08,366.000000,378.750000,366.000000,372.200012,370.867981,697095
2019-08-09,374.899994,374.899994,364.399994,371.250000,369.921387,1267620
2019-08-13,359.799988,363.700012,346.450012,351.649994,350.391510,447975
2019-08-14,353.100006,363.850006,347.500000,361.250000,359.957153,233728
2019-08-16,365.000000,365.000000,355.100006,361.299988,360.006989,164893
2019-08-19,362.049988,366.049988,359.950012,361.100006,359.807709,124746
2019-08-20,360.799988,362.350006,357.500000,358.149994,356.868256,96506
2019-08-21,359.200012,360.000000,353.299988,354.649994,353.380768,124967
2019-08-22,352.850006,357.049988,351.200012,352.649994,351.387939,85770
2019-08-23,353.899994,358.549988,351.149994,356.700012,355.423462,106190
2019-08-26,358.799988,362.299988,347.000000,360.700012,359.409149,137269
2019-08-27,362.200012,368.000000,344.000000,347.799988,346.555298,4561172
2019-08-28,351.500000,351.500000,335.950012,345.850006,344.612274,1528590
2019-08-29,343.700012,349.700012,341.250000,343.500000,342.270691,126393
2019-08-30,345.399994,349.299988,338.950012,347.049988,345.807983,115333
2019-09-03,347.049988,347.049988,335.399994,336.649994,335.445190,608279
2019-09-04,337.000000,347.250000,335.600006,345.950012,344.711945,194054
2019-09-05,349.950012,349.950012,340.950012,347.649994,346.405823,107147
2019-09-06,349.500000,354.100006,345.399994,349.200012,347.950287,192101
2019-09-09,354.000000,357.500000,349.299988,356.149994,354.875397,150671
2019-09-11,359.000000,361.549988,350.600006,355.250000,353.978638,127734
2019-09-12,357.399994,357.399994,346.700012,347.450012,346.206573,149063
2019-09-13,350.000000,350.000000,340.850006,342.750000,341.523376,190962
2019-09-16,341.149994,345.299988,338.700012,343.899994,342.669250,116298
2019-09-17,345.600006,349.399994,332.649994,339.850006,338.633759,225897
2019-09-18,342.250000,344.250000,334.600006,335.750000,334.548431,172669
2019-09-19,337.000000,342.299988,334.899994,337.700012,336.491455,201834
2019-09-20,339.350006,364.649994,335.100006,355.899994,354.626312,493968
2019-09-23,355.450012,362.250000,343.500000,347.799988,346.555298,340158
2019-09-24,347.850006,352.049988,345.799988,348.600006,347.352448,111464
2019-09-25,349.299988,350.049988,338.399994,341.549988,340.327667,159949
2019-09-26,343.500000,346.799988,340.600006,343.950012,342.719086,89855
2019-09-27,344.000000,354.799988,339.299988,348.799988,347.551697,110073
2019-09-30,350.000000,374.600006,344.200012,367.250000,365.935699,474533
2019-10-01,368.250000,369.799988,347.149994,350.899994,349.644196,325322
2019-10-03,351.000000,355.549988,341.500000,344.899994,343.665680,143423
2019-10-04,351.950012,351.950012,334.500000,339.700012,338.484314,115141
